;Location;Price;Rooms;WCs;Net Floor Area (m2);Gross Private Area (m2);Parking;Floor;Energy Performance Certificate;Elevator_Not available;Capital;Metropolitan Areas;Large cities;Median Age;Coastal Locations
1769;ERA Palmela Azeitao, Moita;150.000;2.0;1.0;81.0;95.0;;;Not available;True;False;False;False;45;False
1770;Quinta do Jacinto, Lisboa;200.000;2.0;1.0;45.0;50.0;0.0;0.0;Not available;True;True;True;True;44,8;False
1771;À Av. Uruguai, Lisboa;Under Consultation;2.0;1.0;75.0;86.0;;;Not available;True;True;True;True;44,8;False
1772;Praia da Luz, Lagos;220.000;1.0;1.0;47.0;;;;Not available;True;False;False;False;48,7;True
1773;Costa Cabral, Porto;270.000;2.0;1.0;79.0;84.0;0.0;3.0;Not available;True;False;True;True;47;True
1774;Vilar de Andorinho, Porto;130.000;2.0;1.0;63.0;72.0;;;Not available;True;False;True;True;47;True
1775;Costa Cabral, Porto;240.000;2.0;1.0;65.0;66.0;0.0;2.0;Not available;True;False;True;True;47;True
1776;Repeses e São Salvador, Viseu;295.000;3.0;2.0;140.0;206.0;1.0;3.0;Energy Performance Certificate;False;False;False;False;46,9;False
1777;S. Miguel, Ovar;99.000;1.0;1.0;102.0;127.0;;;Not available;True;False;False;False;47,1;False
1778;Costa Cabral, Porto;170.000;0.0;1.0;32.0;48.0;;;Not available;True;False;True;True;47;True
1779;Repeses e São Salvador, Viseu;292.500;3.0;2.0;136.0;197.0;1.0;3.0;Energy Performance Certificate;False;False;False;False;46,9;False
1780;Gafanha da Nazaré, Ílhavo;175.000;2.0;1.0;90.0;;;;Not available;True;False;False;False;48,6;True
1781;Santa Marinha e São Pedro da Afurada, Porto;137.500;0.0;1.0;32.0;32.0;;;Not available;True;False;True;True;47;True
1782;Costa Cabral, Porto;240.000;2.0;1.0;65.0;66.0;0.0;1.0;Not available;True;False;True;True;47;True
1783;Penha de França, Lisboa;179.000;2.0;1.0;;;;;Not available;True;True;True;True;44,8;False
1784;Nazaré, Leiria;320.000;2.0;2.0;78.0;78.0;1.0;1.0;Energy Performance Certificate;False;False;False;False;48,6;True
1785;Repeses e São Salvador, Viseu;300.000;3.0;2.0;135.0;196.0;1.0;4.0;Energy Performance Certificate;False;False;False;False;46,9;False
1786;Repeses e São Salvador, Viseu;440.000;3.0;2.0;216.0;290.0;1.0;5.0;Energy Performance Certificate;False;False;False;False;46,9;False
1787;Repeses e São Salvador, Viseu;540.000;4.0;3.0;256.0;345.0;1.0;5.0;Energy Performance Certificate;False;False;False;False;46,9;False
1788;Estômbar e Parchal, Faro;215.000;3.0;2.0;110.0;110.0;3.0;0.0;Not available;True;False;False;False;45,7;True
1789;São Martinho, Ilha da Madeira;1.050.000;3.0;4.0;123.0;178.0;1.0;3.0;Not available;True;False;False;False;;False
1790;Santa Maria Maior, Vila Real;189.000;3.0;2.0;135.0;140.0;1.0;0.0;Energy Performance Certificate;False;False;False;False;48,5;False
1791;Encosta do Sol, Lisboa;300.000;3.0;2.0;79.0;92.0;;;Not available;True;True;True;True;44,8;False
1792;Alto do Seixalinho / Quinta do Convento, Barreiro;195.000;2.0;2.0;64.0;69.0;;;Not available;True;False;False;False;47;False
1793;Santo André / Ribeira das Naus, Barreiro;143.000;1.0;1.0;38.0;40.0;;;Not available;True;False;False;False;47;False
1794;Guarda, Guarda;128.000;4.0;2.0;109.0;118.0;;;Not available;True;False;False;False;49,6;False
1795;Girassol, Abrantes;160.000;3.0;3.0;120.0;125.0;;;Not available;True;False;False;False;53,4;False
1796;São Félix da Marinha, Porto;320.000;2.0;2.0;95.0;95.0;2.0;0.0;Not available;True;False;True;True;47;True
1797;Encosta da Barata, Abrantes;89.000;2.0;1.0;84.0;84.0;;;Not available;True;False;False;False;53,4;False
1798;Pombal, Leiria;198.000;2.0;2.0;87.0;140.0;1.0;2.0;Energy Performance Certificate;False;False;False;False;46,4;False
1799;Cabo de Vialonga, Vila Franca de Xira;265.000;3.0;2.0;97.0;102.0;1.0;2.0;Energy Performance Certificate;False;False;False;False;44,1;False
1800;São Félix da Marinha, Porto;415.000;3.0;2.0;114.0;114.0;2.0;0.0;Not available;True;False;True;True;47;True
1801;Aldeia de Paio Pires, Seixal;250.000;2.0;1.0;73.0;81.0;2.0;2.0;Energy Performance Certificate;False;False;False;False;44,9;False
1802;Anta e Guetim, Aveiro;345.000;3.0;3.0;117.0;117.0;1.0;0.0;Energy Performance Certificate;False;False;False;False;45,5;True
1803;Rosto do Cão (Livramento), Ilha de São Miguel;Under Consultation;2.0;1.0;65.0;70.0;;;Not available;True;False;False;False;;False
1804;São Martinho, Ilha da Madeira;2.600.000;3.0;4.0;173.0;209.0;1.0;5.0;Not available;True;False;False;False;;False
1805;Marvila, Lisboa;220.000;2.0;1.0;72.0;72.0;;;Not available;True;True;True;True;44,8;False
1806;São Martinho, Ilha da Madeira;920.000;3.0;4.0;142.0;174.0;1.0;3.0;Not available;True;False;False;False;;False
1807;São Martinho, Ilha da Madeira;895.000;3.0;4.0;142.0;174.0;1.0;2.0;Not available;True;False;False;False;;False
1808;São Martinho, Ilha da Madeira;785.000;2.0;3.0;92.0;139.0;1.0;1.0;Not available;True;False;False;False;;False
1809;São Martinho, Ilha da Madeira;595.000;1.0;2.0;56.0;98.0;1.0;1.0;Not available;True;False;False;False;;False
1810;São Martinho, Ilha da Madeira;860.000;3.0;4.0;124.0;168.0;1.0;0.0;Not available;True;False;False;False;;False
1811;São Martinho, Ilha da Madeira;775.000;2.0;3.0;88.0;128.0;1.0;0.0;Not available;True;False;False;False;;False
1812;Bairro de Santa Cruz, Lisboa;390.000;2.0;1.0;100.0;106.0;;;Not available;True;True;True;True;44,8;False
1813;Santa Iria de Azoia, São João da Talha e Bobadela, Lisboa;Under Consultation;3.0;1.0;88.0;97.0;0.0;2.0;Not available;True;True;True;True;44,8;False
1814;Bairro do Liceu, Aveiro;217.500;2.0;1.0;73.0;91.0;;;Not available;True;False;False;False;45,5;True
1815;Vila Real de Santo António, Vila Real de Santo António;188.500;3.0;2.0;68.0;89.0;;;Not available;True;False;False;False;48,5;False
1816;Lousã e Vilarinho, Coimbra;160.000;2.0;2.0;135.0;175.0;1.0;4.0;Energy Performance Certificate;False;False;False;True;48,3;False
1817;Centro de Gaia, Vila Nova de Gaia;250.000;2.0;2.0;100.0;105.0;;;Not available;True;False;True;True;46,8;False
1818;Vila Real de Santo António, Vila Real de Santo António;225.000;3.0;2.0;95.0;105.0;;;Not available;True;False;False;False;48,5;False
1819;Vera Cruz, Aveiro;195.000;2.0;1.0;97.0;97.0;;;Not available;True;False;False;False;45,5;True
1820;São Brás de Alportel, Faro;240.000;2.0;1.0;77.0;99.0;;;Not available;True;False;False;False;45,7;True
1821;Eiras, Coimbra;220.000;3.0;3.0;113.0;227.0;1.0;3.0;Not available;True;False;False;True;48,3;False
1822;Quinta da Portela / Polo II, Coimbra;293.000;2.0;2.0;79.0;93.0;2.0;3.0;Energy Performance Certificate;False;False;False;True;48,3;False
1823;Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro), Braga;265.000;2.0;2.0;114.0;150.0;1.0;1.0;Energy Performance Certificate;False;False;False;True;46,3;False
1824;Praia da Rocha, Portimão;310.000;3.0;2.0;100.0;112.0;1.0;3.0;Not available;False;False;False;False;45,5;True
1825;Monte Gordo, Faro;349.500;2.0;1.0;73.0;87.0;1.0;2.0;Energy Performance Certificate;False;False;False;False;45,7;True
1826;Santa Maria Maior, Vila Real;179.000;2.0;3.0;125.0;134.0;1.0;2.0;Energy Performance Certificate;False;False;False;False;48,5;False
1827;Minde, Santarém;119.500;3.0;2.0;88.0;98.0;;;Not available;True;False;False;False;48,3;False
1828;Gouveia, Guarda;75.000;2.0;1.0;61.0;83.0;;;Not available;True;False;False;False;58,1;False
1829;Leiria, Pousos, Barreira e Cortes, Leiria;159.500;1.0;1.0;60.0;727.0;1.0;0.0;Not available;True;False;False;False;46,4;False
1830;Ribeirão, Braga;169.000;2.0;1.0;115.0;109.0;1.0;1.0;Energy Performance Certificate;False;False;False;True;44,4;False
1831;Arroios, Lisboa;645.000;5.0;2.0;106.0;124.0;;;Not available;True;True;True;True;44,8;False
1832;Infantado, Loures;349.000;2.0;2.0;126.0;126.0;1.0;2.0;Energy Performance Certificate;False;False;False;False;44,6;False
1833;Nossa Senhora da Piedade, Santarém;129.500;3.0;2.0;105.0;117.0;1.0;1.0;Not available;True;False;False;False;48,3;False
1834;Campo 24 Agosto, Porto;170.000;1.0;1.0;35.0;41.0;;;Not available;True;False;True;True;47;True
1835;Vilar de Andorinho, Porto;210.000;2.0;2.0;114.0;114.0;2.0;1.0;Energy Performance Certificate;False;False;True;True;47;True
1836;Bonfim, Porto;325.000;2.0;2.0;78.0;90.0;;;Not available;True;False;True;True;47;True
1837;Bonfim, Porto;185.000;0.0;1.0;39.0;51.0;;;Not available;True;False;True;True;47;True
1838;Bonfim, Porto;335.000;2.0;2.0;85.0;97.0;;;Not available;True;False;True;True;47;True
1839;Alfena, Porto;205.000;2.0;2.0;84.0;205.0;1.0;0.0;Energy Performance Certificate;False;False;True;True;47;True
